objectid,format,filename,parents,has_work_type,local_identifier,title,abstract,utk_photographer,utk_donor,date_created,date_created_d,rights_statement,spatial_local,latitude,longitude,provider,repository,archival_collection,keyword
wcc:331,image/jpeg,wcc_331.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc084 | wcc:331,"""Tower Rocks"" (from above) John Walker on right","Photograph taken by William Cox Cochran on Aug 22, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 22, 1886",1886-08-22,http://rightsstatements.org/vocab/NoC-US/1.0/,Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552","Walker, John"
wcc:325,image/jpeg,wcc_325.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc035 | wcc:325,Saddle Mt. -Chilhowee R. - from Sam Walker's backyard,"Photograph taken by William Cox Cochran on Aug 14, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 14, 1886",1886-08-14,http://rightsstatements.org/vocab/NoC-US/1.0/,Little River | Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",
wcc:333,image/jpeg,wcc_333.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc085 | wcc:333,Slope of Pine Mt. from Sunset Hill. Mt. Nebo,"Photograph taken by William Cox Cochran on Aug 24, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 24, 1886",1886-08-24,http://rightsstatements.org/vocab/NoC-US/1.0/,Pine Mountain | Great Smoky Mountains (N.C. and Tenn.),-33.8318,148.8512,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",
wcc:327,image/jpeg,wcc_327.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc036 | wcc:327,Miller's Cove (looking S.E. from Hatcher's) Dr. C.S. Evans in foreground,"Photograph taken by William Cox Cochran on Aug 16, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 16, 1886",1886-08-16,http://rightsstatements.org/vocab/NoC-US/1.0/,Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",
wcc:284,image/jpeg,wcc_284.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc055 | wcc:284,Bridle path to Robt. Spence's (Island),"Photograph taken by William Cox Cochran on Aug 18, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 18, 1886",1886-08-18,http://rightsstatements.org/vocab/NoC-US/1.0/,Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Trails | Bodies of water
wcc:290,image/jpeg,wcc_290.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc058 | wcc:290,Pine forest on slope of Scott Mt. Blount Co. Tenn.,"Photograph taken by William Cox Cochran on Aug 19, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 19, 1886",1886-08-19,http://rightsstatements.org/vocab/NoC-US/1.0/,Blount County (Tenn.) | Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Pine | Oak
wcc:291,image/jpeg,wcc_291.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc018 | wcc:291,Mt. Nebo - Chilhowee R. from ridge near Melrose,"Photograph taken by William Cox Cochran on Aug 13, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 13, 1886",1886-08-13,http://rightsstatements.org/vocab/NoC-US/1.0/,Mount Nebo | Great Smoky Mountains (N.C. and Tenn.),37.67611,-107.50839,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",
wcc:285,image/jpeg,wcc_285.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc015 | wcc:285,Bly's cabin Mt. Nebo Blount Co. Tenn.,"Photograph taken by William Cox Cochran on Aug 13, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 13, 1886",1886-08-13,http://rightsstatements.org/vocab/NoC-US/1.0/,Mount Nebo | Great Smoky Mountains (N.C. and Tenn.),37.67611,-107.50839,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Log cabins
wcc:326,image/jpeg,wcc_326.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc082 | wcc:326,"""Tower Rocks"" on Flat Branch Little River from opp. Slope of ravine","Photograph taken by William Cox Cochran on Aug 22, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 22, 1886",1886-08-22,http://rightsstatements.org/vocab/NoC-US/1.0/,Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",
wcc:332,image/jpeg,wcc_332.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc044 | wcc:332,Up Little River from below Tuckaleechee Cove,"Photograph taken by William Cox Cochran on Aug 16, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 16, 1886",1886-08-16,http://rightsstatements.org/vocab/NoC-US/1.0/,Little River | Great Smoky Mountains (N.C. and Tenn.),33.70054,-94.23434,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Bodies of water
wcc:336,image/jpeg,wcc_336.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc046 | wcc:336,View from road over Scott Mt. (Great Smoky Mts. in distance lost by over exposure),"Photograph taken by William Cox Cochran on Aug 16, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 16, 1886",1886-08-16,http://rightsstatements.org/vocab/NoC-US/1.0/,Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Trails
wcc:322,image/jpeg,wcc_322.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc080 | wcc:322,Knob on Chilhowee R,"Photograph taken by William Cox Cochran on Aug 22, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 22, 1886",1886-08-22,http://rightsstatements.org/vocab/NoC-US/1.0/,Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",
wcc:281,image/jpeg,wcc_281.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc013 | wcc:281,Mt. Nebo house Chilhowee R. Blount Co. Tenn.,"Photograph taken by William Cox Cochran on Aug 12, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 12, 1886",1886-08-12,http://rightsstatements.org/vocab/NoC-US/1.0/,Mount Nebo | Great Smoky Mountains (N.C. and Tenn.),37.67611,-107.50839,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Hotels
wcc:295,image/jpeg,wcc_295.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc020 | wcc:295,Path from Melrose Spring - to Hotel. Blount Co. Tenn,"Photograph taken by William Cox Cochran on Aug 13, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 13, 1886",1886-08-13,http://rightsstatements.org/vocab/NoC-US/1.0/,Blount County (Tenn.) | Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Trails | Hotels
wcc:294,image/jpeg,wcc_294.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc060 | wcc:294,"Little, or Fox Mt. from road over Scott Mt.","Photograph taken by William Cox Cochran on Aug 19, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 19, 1886",1886-08-19,http://rightsstatements.org/vocab/NoC-US/1.0/,Scott Mountain | Scott Mountain | Great Smoky Mountains (N.C. and Tenn.),43.37199,-123.06495,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",
wcc:280,image/jpeg,wcc_280.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc053 | wcc:280,Laurel Creek road near A.J. Dorsey's,"Photograph taken by William Cox Cochran on Aug 18, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 18, 1886",1886-08-18,http://rightsstatements.org/vocab/NoC-US/1.0/,Laurel Creek | Great Smoky Mountains (N.C. and Tenn.),37.85734,-80.99371,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Bodies of water | Roads
wcc:323,image/jpeg,wcc_323.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc034 | wcc:323,Saddle Mt. Little River Gap from near Sammie Walker's Miller's Cove,"Photograph taken by William Cox Cochran on Aug 14, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 14, 1886",1886-08-14,http://rightsstatements.org/vocab/NoC-US/1.0/,Little River | Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Bodies of water
wcc:337,image/jpeg,wcc_337.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc087 | wcc:337,Avert's clearing. Miller's Cove,"Photograph taken by William Cox Cochran on Aug 25, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 25, 1886",1886-08-25,http://rightsstatements.org/vocab/NoC-US/1.0/,Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",
wcc:309,image/jpeg,wcc_309.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc027 | wcc:309,Fernbank in Pine Mt. Chilhowee R. Blount Co. Tenn.,"Photograph taken by William Cox Cochran on Aug 14, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 14, 1886",1886-08-14,http://rightsstatements.org/vocab/NoC-US/1.0/,Pine Mountain | Great Smoky Mountains (N.C. and Tenn.),-33.8318,148.8512,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",
wcc:321,image/jpeg,wcc_321.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc033 | wcc:321,Little River opposite Uncle Sammy Walker's house-Miller's Cove (A.P. Holt wading),"Photograph taken by William Cox Cochran on Aug 14, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 14, 1886",1886-08-14,http://rightsstatements.org/vocab/NoC-US/1.0/,Miller Cove | Little River | Great Smoky Mountains (N.C. and Tenn.),35.18286,-85.98859,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Bodies of water
wcc:335,image/jpeg,wcc_335.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc086 | wcc:335,Slope of Pine Mt. from point of rocks N. of Mt Nebo House,"Photograph taken by William Cox Cochran on Aug 24, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 24, 1886",1886-08-24,http://rightsstatements.org/vocab/NoC-US/1.0/,Pine Mountain | Great Smoky Mountains (N.C. and Tenn.),-33.8318,148.8512,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",
wcc:269,image/jpeg,wcc_269.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc006 | wcc:269,Knoxville E. Tenn. University taken August 11/86,"Photograph taken by William Cox Cochran on Aug 11, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 11, 1886",1886-08-11,http://rightsstatements.org/vocab/NoC-US/1.0/,Knoxville (Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","University of Tennessee Photograph and Slide Collection, AR.0018",Buildings | University of Tennessee (Knoxville campus)
wcc:296,image/jpeg,wcc_296.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc061 | wcc:296,"Little, or Fox Mt. from mud road at foot of Scott Mt.","Photograph taken by William Cox Cochran on Aug 19, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 19, 1886",1886-08-19,http://rightsstatements.org/vocab/NoC-US/1.0/,Scott Mountain | Scott Mountain | Great Smoky Mountains (N.C. and Tenn.),43.37199,-123.06495,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",
wcc:282,image/jpeg,wcc_282.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc054 | wcc:282,Laurel Creek road Blount Co. Tenn. (laurels),"Photograph taken by William Cox Cochran on Aug 18, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 18, 1886",1886-08-18,http://rightsstatements.org/vocab/NoC-US/1.0/,Laurel Creek | Great Smoky Mountains (N.C. and Tenn.),37.85734,-80.99371,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Bodies of water | Roads
wcc:283,image/jpeg,wcc_283.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc014 | wcc:283,Bly's cabin Mt. Nebo Blount Co. Tenn.,"Photograph taken by William Cox Cochran on Aug 13, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 13, 1886",1886-08-13,http://rightsstatements.org/vocab/NoC-US/1.0/,Mount Nebo | Great Smoky Mountains (N.C. and Tenn.),37.67611,-107.50839,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Log cabins
wcc:297,image/jpeg,wcc_297.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc021 | wcc:297,Guests at Melrose Spring Hotel. Blount Co. Tenn. -taken by request,"Photograph taken by William Cox Cochran on Aug 13, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 13, 1886",1886-08-13,http://rightsstatements.org/vocab/NoC-US/1.0/,Blount County (Tenn.) | Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Hotels
wcc:268,image/jpeg,wcc_268.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc038 | wcc:268,Mt. Nebo - Chilhowee R. - from Miller's Cove,"Photograph taken by William Cox Cochran on Aug 16, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 16, 1886",1886-08-16,http://rightsstatements.org/vocab/NoC-US/1.0/,Mount Nebo | Great Smoky Mountains (N.C. and Tenn.),37.67611,-107.50839,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Log cabins
wcc:334,image/jpeg,wcc_334.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc045 | wcc:334,Great Smoky Mts. From road over Scott Mt.,"Photograph taken by William Cox Cochran on Aug 16, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 16, 1886",1886-08-16,http://rightsstatements.org/vocab/NoC-US/1.0/,Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Roads
wcc:320,image/jpeg,wcc_320.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc079 | wcc:320,View on Maryville Road in front of W. L. Calter's,"Photograph taken by William Cox Cochran on Aug 21, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 21, 1886",1886-08-21,http://rightsstatements.org/vocab/NoC-US/1.0/,Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Roads | Bodies of water
wcc:308,image/jpeg,wcc_308.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc068 | wcc:308,View from high road in pass bet. Miller's Cove and Tuckaleechee,"Photograph taken by William Cox Cochran on Aug 19, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 19, 1886",1886-08-19,http://rightsstatements.org/vocab/NoC-US/1.0/,Tuckaleechee Cove | Millers Cove | Great Smoky Mountains (N.C. and Tenn.),35.68203,-83.79045,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Bodies of water
wcc:347,image/jpeg,wcc_347.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc096 | wcc:347,Oak forest around summit of Big Bald Mt.,"Photograph taken by William Cox Cochran on Aug 27, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 27, 1886",1886-08-27,http://rightsstatements.org/vocab/NoC-US/1.0/,Gregory Bald | Great Smoky Mountains (N.C. and Tenn.),35.52067,-83.86553,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",Pine | Oak
wcc:353,image/jpeg,wcc_353.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc105 | wcc:353,"Sea of cloud, 6 A.M. from Sunset Hill, Mt. Nebo","Photograph taken by William Cox Cochran on Aug 30, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 30, 1886",1886-08-30,http://rightsstatements.org/vocab/NoC-US/1.0/,Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",
wcc:352,image/jpeg,wcc_352.jpg,gsmrc:wcc,https://ontology.lib.utk.edu/works#ImageWork,wcc104 | wcc:352,"Sea of cloud, 6 A.M. from Sunset Hill, Mt. Nebo","Photograph taken by William Cox Cochran on Aug 30, 1886.","Cochran, William C. (William Cox), 1848-1936","Cochran, Mary Rudd, 1881-1982","Aug 30, 1886",1886-08-30,http://rightsstatements.org/vocab/NoC-US/1.0/,Great Smoky Mountains (N.C. and Tenn.),,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","William Cox Cochran Great Smoky Mountains Photographic Collection, MS.0552",
